title,price,rating,reviewers
REI Co-op Link Shaped Stuff Sacks - Set of 2,$17.93,4.3,6
REI Co-op Down Time 25 Down Sleeping Bag - Men's,$229.00,4.4,13
Metolius Chalk Bag,$14.95,4.7,18
gogglesoc California Soc Goggles Cover,$14.95,0.0,0
NEMO Disco 30 Sleeping Bag - Men's,$259.95,4.5,59
NEMO Sonic 0 Sleeping Bag,$549.95,5.0,1
REI Co-op Pack In Pack Out Pouches - Set of 3,$24.95,4.8,8
Mountain Hardwear Bishop Pass 15 Sleeping Bag - Men's,$275.00,4.3,43
REI Co-op Stuff Travel Print Tote,$29.95,4.7,7
NEMO Forte 20 Sleeping Bag - Men's,$199.95,4.3,135
The North Face One Bag Sleeping Bag,$300.00,4.5,120
REI Co-op Trailbreak 30 Sleeping Bag - Women's,$99.95,3.8,24
Chrome Mini Kadet Sling Bag,$75.00,5.0,1
REI Co-op Life Outdoors Flask - 8 fl. oz.,$24.95,4.0,12
REI Co-op Small Recycled Canvas Tote,$4.93,3.3,3
REI Co-op Siesta Hooded 25 Double Sleeping Bag,$229.00,3.9,29
NEMO Riff 15 Sleeping Bag - Women's,$399.95,4.5,23
Marmot Teton 15 Sleeping Bag - Women's,$299.00,4.8,9
REI Co-op Pack Duffel Bag,$39.95,4.6,88
Stasher Reusable Silicone Sandwich Bag,$12.95,4.9,1614
CAMP Eyewear Accessory Pouch - Sleeping Bag,$14.00,5.0,6
NEMO Forte 20 Sleeping Bag - Women's,$199.95,4.4,86
REI Co-op Trailbreak 30 Sleeping Bag - Men's,$99.95,4.0,62
REI Co-op HunkerDown 20 Sleeping Bag,$199.00,4.8,21
REI Co-op Ditty Sack - Set of 3,$19.95,4.7,24
Cotopaxi Tago Drawstring Pack,$40.00,4.5,10
Sea to Summit Ultra-Sil Dry Sack,$17.95,4.3,230
REI Co-op Stuff Travel Print Pack - 20L,$34.95,5.0,2
NEMO Disco 15 Sleeping Bag - Men's,$299.95,4.6,173
NEMO Jazz 30 Double Sleeping Bag,$349.95,4.5,4
NEMO Jazz 30 Sleeping Bag,$299.95,4.7,13
REI Co-op Travel Organizer - Medium,$34.95,4.8,9
Fjallraven High Coast Totepack,$70.00,5.0,1
Bobo's Oat Bars Oat Bites,$6.00,5.0,4
Nite Ize RunOff Waterproof Pocket,$30.00,4.9,7
NEMO Disco 15 Sleeping Bag - Women's,$299.95,4.6,125
NEMO Riff 15 Sleeping Bag - Men's,$399.95,4.3,41
REI Co-op Stuff Travel Tote,$29.95,4.5,4
Thule Compression Packing Cube - Small,$19.95,4.5,2
gogglesoc Camper Sunnysoc Sunglass Case,$14.95,0.0,0
Therm-a-Rest Vesper Down Quilt 20,$429.95,4.2,42
REI Co-op Trailbreak 20 Sleeping Bag - Men's,$109.00,4.5,81
Exped MegaSleep Duo 25/40 Double Sleeping Bag,$229.95,3.9,40
Nite Ize RunOff Waterproof Wallet,$25.00,4.3,19
REI Co-op Junction Top Tube Bag,$29.95,4.5,59
gogglesoc Happy Camper Sunnysoc Sunglass Case,$14.95,0.0,0
Therm-a-Rest Corus 20 Quilt,$299.95,4.5,12
Kelty Cosmic 20 Sleeping Bag - Men's,$169.95,4.6,59
Kelty Cosmic 20 Sleeping Bag - Women's,$209.95,4.3,13
REI Co-op Durable Stuff Sack,$8.95,4.9,60
gogglesoc New Mexico Soc Goggles Cover,$14.95,5.0,1
NEMO Disco 30 Sleeping Bag - Women's,$259.95,4.6,37
REI Co-op Kindercone 25 Sleeping Bag - Kids',$69.95,4.1,19
Cotopaxi Taal Convertible Tote - Del Dia,$55.00,4.7,476
gogglesoc Colorado Soc Goggles Cover,$14.95,0.0,0
REI Co-op Trailbreak 20 Sleeping Bag - Women's,$109.00,4.0,46
REI Co-op Magma 15 Sleeping Bag - Men's,$399.00,4.4,97
