name,description,brand.name,aggregateRating.ratingValue,aggregateRating.reviewCount
Scrambler 25 Pack,"Trad climbers, peak baggers and off-trail scramblers count on the Mountain Hardwear Scrambler 25 pack to do the job. Durable and light, it also doubles as a dependable pack for day hikers.",Mountain Hardwear,4.3,49
Kestrel 48 Pack - Men's,Carry your gear off the beaten path and into the rugged backcountry with the help of the men's Osprey Kestrel 48 pack. This versatile pack is ready for any and all of your outdoor adventures.,Osprey,4.6,56
Nano 18 H2O Hydration Pack,"A handy companion for a spontaneous hike, music festival or busy weekend, the Gregory Nano 18 H2O hydration pack hauls all of your must-haves—and 3 liters of water—when you're out and about.",Gregory,4.6,110
Traverse 32 Pack - Men's,"A durable, comfortable and well-organized workhorse, the men's REI Co-op Traverse 32 pack keeps you supplied for everything from ultralight overnighters to epic day hikes.",REI Co-op,4.5,56
Kyte 36 Pack - Women's,"Designed and built as a durable workhorse, the women's Osprey Kyte 36 pack eagerly carries gear off the beaten path into rugged, unpredictable backcountry terrain.",Osprey,4.5,38
Trail 28 SL Pack - Women's,"Built for alpine hikers and climbers who explore at the highest altitudes, the women's Deuter Trail 28 SL pack is lightweight and comfortable, yet durable enough for your toughest adventures.",Deuter,4.8,81
Flash 18 Pack - Pride Graphic Edition,"Ultralight, comfy to carry and roomy enough to hold the Ten Essentials (and more) the REI Co-op Flash 18 Pride Edition pack makes hikes, travel and your daily commute feel like a walk in the park.",REI Co-op,4.4,29
Trail 5 Waist Pack,Load up for a day on the trail and leave your backpack at home. The REI Co-op Trail 5 waist pack holds 10 essentials and beyond—plus there's a secret passport pocket on back for cross-border treks.,REI Co-op,4.4,122
Trail 40 Pack - Women's,"Ideal for day hikes, overnights and travel, the strong and comfortable women's REI Co-op Trail 40 pack offers easy access to your gear, tons of organizer pockets and a comfortable carry.",REI Co-op,4.7,79
Traverse 60 Pack - Women's,"From fit to features, the women's Traverse 60 pack was born from our extensive field research. The result: burly durability, easy adjustability, improved comfort and just-in-case versatility.",REI Co-op,4.5,29
Kyte 56 Pack - Women's,"Remote backcountry trips and thru-hikes call for gear you can count on—and the women's Osprey Kyte 56 pack delivers. Its durable design is ready for slot canyons, dense brush and more.",Osprey,5.0,1
Talon 22 Pack - Men's,"Bring hydration, food and extra layers along wherever your imagination takes you with the men's Osprey Talon 22 pack, your new favorite day-hiking, biking or peak-bagging carry solution.",Osprey,4.6,83
Grotto 35+ Pack,"Whether you're in climb mode, commute phase or on a nonstop-carry mission, the Mountain Hardwear Grotto 35+ pack provides a robust support system in a rugged package to get you through it all.",Mountain Hardwear,4.4,7
Flash 22 Pack,"Lean, clean and well-appointed, the 14 oz. REI Co-op Flash 22 gives you a removable back pad, waist and sternum straps—even a hydration sleeve—real comfort for a long day hike or summit push.",REI Co-op,4.3,61
Tarn 12 Pack - Kids',This is a real pack—not a toy. That's why the kids' REI Co-op Tarn 12 pack gets youngsters excited to hit the trail carrying their own stuff in their own pack.,REI Co-op,4.4,63
Tarn 65 Pack - Kids',"Thanks to the adjustable torso and hipbelt, the REI Co-op Tarn 65 pack grows with kids, teens and tweens—and their love of hiking! And its breathable, padded back makes long hauls comfy, too.",REI Co-op,4.0,1
Nano 22 H2O Hydration Pack,"Ideal for quick-strike missions to catch the sunset or a weekend at your favorite mountain music fest, the Gregory Nano 22 H2O hydration pack hauls your gear for the day plus 3 liters of water.",Gregory,4.4,115
Zulu 40 Pack - Men's,"Large enough for supplies for 2 on sunup-to-sundown adventures, the generously sized yet agile men's Gregory Zulu 40 pack can even work for nights in the wild when the gear list is shorter than usual.",Gregory,4.4,65
Kestrel 38 Pack - Men's,"You'll be eagerly carrying gear off the beaten path and into rugged, unpredictable backcountry terrain with this feature-rich and durable, men's Osprey Kestrel 38 pack.",Osprey,4.8,28
Canyon 30 Pack,"Lightweight and durable, the ALPS Mountaineering Canyon 30 pack offers a comfortable carry and gear storage for a day hike, overnighter, or your work commute.",ALPS Mountaineering,3.0,13
Traverse 32 Pack - Women's,"Keeping you supplied for everything from ultralight overnighters to epic day hikes, the women's REI Co-op Traverse 32 pack is a durable, comfortable and well-organized workhorse.",REI Co-op,4.7,18
Trail 25 Pack - Men's,"Sized just right for day hikes, commuting and carry-on travel, the men's REI Co-op Trail 25 pack holds plenty of gear, keeps it well organized and rides light and comfy on your back.",REI Co-op,4.6,169
